&
B ALA_CB 17.6678 23.0149
2.25 0.994571 0 0.00719138
2.35 0.994571 0 0.0108036
2.45 0.994571 0 0.0144037
2.55 0.994571 0 0.0196099
2.65 0.994571 0 0.0269278
2.75 0.994571 0 0.0352798
2.9 0.994571 0 0.103962
3.1 0.994571 0 0.166949
3.3 0.994571 0 0.260792
3.5 0.994571 0 0.398506
3.7 0.0987858 0.5 0.587736
3.95 0.897947 0.0294118 1.41034
4.25 0.231685 1.475 2.19558
4.55 0.234368 1.65441 2.85959
4.85 0.924286 0.154412 3.8357
&
B ASN_ND2 17.5338 11.9312
1.55 1.8548 0 4.37916e-05
1.65 1.8548 0 0.000118263
1.75 1.8548 0 0.000326725
1.85 1.8548 0 0.000723016
1.95 1.8548 0 0.00152593
2.05 1.8548 0 0.00271982
2.15 1.8548 0 0.00460373
2.25 1.8548 0 0.00718413
2.35 1.8548 0 0.0107927
2.45 1.8548 0 0.0143892
2.55 1.8548 0 0.0195901
2.65 1.8548 0 0.0269006
2.75 1.8548 0 0.0352441
2.9 0.201689 0.0294118 0.103857
3.1 -0.153689 0.5 0.166781
3.3 0 0.375 0.260529
3.5 0.376598 0.25 0.398104
3.7 -0.0281356 0.875 0.587143
3.95 0.00219251 1.375 1.40892
4.25 -0.341002 3.25 2.19337
4.55 -0.355928 4.52941 2.8567
4.85 -0.438849 6.35 3.83182
&
B ASN_OD1 5.43824 11.6189
1.55 0.94333 0 4.29072e-05
1.65 0.94333 0 0.00011543
1.75 0.94333 0 0.000318436
1.85 0.94333 0 0.000704356
1.95 0.94333 0 0.00148626
2.05 0.94333 0 0.0026489
2.15 0.94333 0 0.0044835
2.25 0.94333 0 0.00699637
2.35 0.94333 0 0.0105105
2.45 0.94333 0 0.0140128
2.55 0.94333 0 0.0190777
2.65 0.94333 0 0.0261968
2.75 0.94333 0 0.034322
2.9 0.94333 0 0.101139
3.1 -0.208194 0.6 0.162416
3.3 0.94333 0 0.253711
3.5 0.94333 0 0.387685
3.7 0.6485 0.125 0.571777
3.95 0.470071 0.529412 1.37205
4.25 0.887248 0.0294118 2.13596
4.55 0.510153 0.625 2.78194
4.85 0.0336382 3.52941 3.73154
&
B ASP_CB 0.0794118 17.0999
1.55 1.79176 0 5.84305e-05
1.65 1.79176 0 0.000165164
1.75 1.79176 0 0.000463934
1.85 1.79176 0 0.0010319
1.95 1.79176 0 0.00218264
2.05 1.79176 0 0.00389374
2.15 1.79176 0 0.00659377
2.25 1.79176 0 0.010292
2.35 1.79176 0 0.0154638
2.45 1.79176 0 0.0206184
2.55 1.79176 0 0.0280724
2.65 1.79176 0 0.0385499
2.75 1.79176 0 0.0505079
2.9 1.79176 0 0.148844
3.1 1.79176 0 0.239027
3.3 1.79176 0 0.373388
3.5 1.79176 0 0.570562
3.7 1.79176 0 0.841494
3.95 1.79176 0 2.01927
4.25 1.0625 0.0794118 3.14355
4.55 1.79176 0 4.09425
4.85 1.79176 0 5.4918
&
B ASP_CG 21.6319 20.2816
1.55 2.40893 0 6.74419e-05
1.65 2.40893 0 0.000194035
1.75 2.40893 0 0.000548397
1.85 2.40893 0 0.00122205
1.95 2.40893 0 0.00258691
2.05 2.40893 0 0.00461639
2.15 2.40893 0 0.00781881
2.25 2.40893 0 0.0122052
2.35 2.40893 0 0.0183393
2.45 2.40893 0 0.0244529
2.55 2.40893 0 0.0332939
2.65 2.40893 0 0.0457209
2.75 2.40893 0 0.059904
2.9 2.40893 0 0.176537
3.1 2.40893 0 0.283501
3.3 2.40893 0 0.442862
3.5 2.40893 0 0.676724
3.7 1.2734 0.208333 0.998068
3.95 0 9.45588 2.39499
4.25 1.84184 0.142157 3.72847
4.55 0.0369029 4.66275 4.85606
4.85 -0.0519083 7.16275 6.51365
&
B ASP_OD 46.2167 40.4207
1.55 4.6023 0 0.00012448
1.65 4.6023 0 0.000376777
1.75 4.6023 0 0.00108301
1.85 4.6023 0 0.00242557
1.95 4.6023 0 0.0051457
2.05 4.6023 0 0.00919039
2.15 4.6023 0 0.0155727
2.25 4.6023 0 0.0243147
2.35 4.6023 0 0.0365397
2.45 4.6023 0 0.048724
2.55 4.6023 0 0.0663438
2.65 4.6023 0 0.0911105
2.75 4.6023 0 0.119377
2.9 4.6023 0 0.351824
3.1 0.120913 0.5 0.564999
3.3 -0.186147 5.43382 0.882601
3.5 -0.466358 8.49265 1.34868
3.7 0 6.91912 1.98911
3.95 0 6.34657 4.77314
4.25 0 9.66324 7.43071
4.55 0.29821 6.06716 9.67798
4.85 0.604236 2.79412 12.9815
&
B CYS_CB 1.32143 6.61734
1.55 0.25446 0 2.87417e-05
1.65 0.25446 0 7.00458e-05
1.75 0.25446 0 0.000185664
1.85 0.25446 0 0.000405458
1.95 0.25446 0 0.000850775
2.05 0.25446 0 0.00151294
2.15 0.25446 0 0.0025578
2.25 0.25446 0 0.00398896
2.35 0.25446 0 0.00599035
2.45 0.25446 0 0.00798507
2.55 0.25446 0 0.0108696
2.65 0.25446 0 0.0149242
2.75 0.25446 0 0.0195518
2.9 0.25446 0 0.0576061
3.1 0.25446 0 0.0925054
3.3 0.25446 0 0.144501
3.5 0.25446 0 0.220803
3.7 0.25446 0 0.325649
3.95 0 0.5 0.781429
4.25 0 0.75 1.2165
4.55 0.25446 0 1.58441
4.85 0.218399 0.0714286 2.12524
&
B CYS_SG 1.25 8.48605
1.55 0.476917 0 3.40343e-05
1.65 0.476917 0 8.70025e-05
1.75 0.476917 0 0.000235271
1.85 0.476917 0 0.000517133
1.95 0.476917 0 0.00108821
2.05 0.476917 0 0.00193736
2.15 0.476917 0 0.00327729
2.25 0.476917 0 0.00511261
2.35 0.476917 0 0.00767918
2.45 0.476917 0 0.0102372
2.55 0.476917 0 0.0139364
2.65 0.476917 0 0.019136
2.75 0.476917 0 0.0250703
2.9 0.476917 0 0.0738711
3.1 0.476917 0 0.118626
3.3 0.476917 0 0.185304
3.5 0 0.25 0.283155
3.7 0.476917 0 0.417609
3.95 0.476917 0 1.0021
4.25 0.476917 0 1.56004
4.55 0.251028 0.5 2.03184
4.85 0.1795 0.5 2.72539
&
B GLN_CB 1.55882 4.81322
1.55 0.105717 0 2.36321e-05
1.65 0.105717 0 5.36752e-05
1.75 0.105717 0 0.000137772
1.85 0.105717 0 0.000297642
1.95 0.105717 0 0.00062155
2.05 0.105717 0 0.00110319
2.15 0.105717 0 0.00186318
2.25 0.105717 0 0.00290416
2.35 0.105717 0 0.0043599
2.45 0.105717 0 0.00581079
2.55 0.105717 0 0.00790892
2.65 0.105717 0 0.0108581
2.75 0.105717 0 0.014224
2.9 0.105717 0 0.0419034
3.1 0.105717 0 0.0672879
3.3 0.105717 0 0.105107
3.5 0.105717 0 0.160607
3.7 0.105717 0 0.236869
3.95 0.105717 0 0.568387
4.25 0.0891731 0.0294118 0.884845
4.55 0.0133595 1 1.15245
4.85 0.06824 0.529412 1.54582
&
B GLN_CD 16.5588 8.58954
1.55 1.71204 0 3.43274e-05
1.65 1.71204 0 8.79415e-05
1.75 1.71204 0 0.000238018
1.85 1.71204 0 0.000523318
1.95 1.71204 0 0.00110135
2.05 1.71204 0 0.00196087
2.15 1.71204 0 0.00331714
2.25 1.71204 0 0.00517483
2.35 1.71204 0 0.0077727
2.45 1.71204 0 0.0103619
2.55 1.71204 0 0.0141062
2.65 1.71204 0 0.0193692
2.75 1.71204 0 0.0253759
2.9 1.71204 0 0.0747717
3.1 1.71204 0 0.120072
3.3 1.71204 0 0.187564
3.5 1.71204 0 0.286607
3.7 0 0.5 0.422701
3.95 -0.417048 3.52941 1.01432
4.25 0 3.02941 1.57906
4.55 -0.128147 4.625 2.05661
4.85 -0.118777 4.875 2.75862
&
B GLN_CG 9.55882 6.19723
1.55 0.627749 0 2.75519e-05
1.65 0.627749 0 6.62337e-05
1.75 0.627749 0 0.000174512
1.85 0.627749 0 0.000380352
1.95 0.627749 0 0.000797397
2.05 0.627749 0 0.00141752
2.15 0.627749 0 0.00239605
2.25 0.627749 0 0.00373635
2.35 0.627749 0 0.00561068
2.45 0.627749 0 0.00747876
2.55 0.627749 0 0.0101802
2.65 0.627749 0 0.0139774
2.75 0.627749 0 0.0183112
2.9 0.627749 0 0.0539496
3.1 0.627749 0 0.0866332
3.3 0.627749 0 0.135327
3.5 0.627749 0 0.206786
3.7 0.29991 0.0294118 0.304976
3.95 0.159149 0.5 0.731819
4.25 0 1.5 1.13927
4.55 0 4.5 1.48382
4.85 0 3.02941 1.99031
&
B GLN_NE2 20.1088 8.82793
1.55 2.21169 0 3.50026e-05
1.65 2.21169 0 9.01046e-05
1.75 2.21169 0 0.000244346
1.85 2.21169 0 0.000537564
1.95 2.21169 0 0.00113164
2.05 2.21169 0 0.00201501
2.15 2.21169 0 0.00340892
2.25 2.21169 0 0.00531817
2.35 2.21169 0 0.00798814
2.45 2.21169 0 0.0106492
2.55 2.21169 0 0.0144974
2.65 2.21169 0 0.0199065
2.75 2.21169 0 0.0260799
2.9 2.21169 0 0.0768467
3.1 -0.23453 0.5 0.123404
3.3 -0.833897 0.529412 0.192769
3.5 -0.296059 4 0.294561
3.7 -0.622969 3.5 0.434432
3.95 -0.281854 3 1.04247
4.25 0 2.52941 1.62289
4.55 0 4.125 2.11369
4.85 0.280781 1.925 2.83519
&
B GLN_OE1 10.9755 7.94618
1.55 0.842474 0 3.25053e-05
1.65 0.842474 0 8.21036e-05
1.75 0.842474 0 0.00022094
1.85 0.842474 0 0.00048487
1.95 0.842474 0 0.00101961
2.05 0.842474 0 0.00181475
2.15 0.842474 0 0.00306943
2.25 0.842474 0 0.00478798
2.35 0.842474 0 0.00719128
2.45 0.842474 0 0.00958655
2.55 0.842474 0 0.0130504
2.65 0.842474 0 0.0179192
2.75 0.842474 0 0.023476
2.9 0.842474 0 0.0691721
3.1 0.842474 0 0.11108
3.3 0.842474 0 0.173516
3.5 -0.449476 0.529412 0.265141
3.7 0.842474 0 0.391041
3.95 -0.293262 1.5 0.938346
4.25 -0.312402 4 1.46079
4.55 -0.0372546 2.02941 1.90257
4.85 0 2.91667 2.552
&
B GLU_CB 0.0294118 6.32016
1.55 0.225103 0 2.79e-05
1.65 0.225103 0 6.73491e-05
1.75 0.225103 0 0.000177775
1.85 0.225103 0 0.000387698
1.95 0.225103 0 0.000813015
2.05 0.225103 0 0.00144544
2.15 0.225103 0 0.00244338
2.25 0.225103 0 0.00381027
2.35 0.225103 0 0.00572178
2.45 0.225103 0 0.00762691
2.55 0.225103 0 0.0103819
2.65 0.225103 0 0.0142544
2.75 0.225103 0 0.0186742
2.9 0.225103 0 0.0550195
3.1 0.225103 0 0.0883514
3.3 0.225103 0 0.138012
3.5 0.225103 0 0.210888
3.7 0.225103 0 0.311025
3.95 0.225103 0 0.746335
4.25 0.211103 0.0294118 1.16187
4.55 0.225103 0 1.51325
4.85 0.225103 0 2.02979
&
B GLU_CD 5.67157 12.8679
1.55 1.14124 0 4.64445e-05
1.65 1.14124 0 0.000126763
1.75 1.14124 0 0.000351591
1.85 1.14124 0 0.000778993
1.95 1.14124 0 0.00164494
2.05 1.14124 0 0.00293256
2.15 1.14124 0 0.00496437
2.25 1.14124 0 0.00774735
2.35 1.14124 0 0.0116392
2.45 1.14124 0 0.015518
2.55 1.14124 0 0.0211273
2.65 1.14124 0 0.0290117
2.75 1.14124 0 0.0380103
2.9 1.14124 0 0.112009
3.1 1.14124 0 0.179873
3.3 1.14124 0 0.280981
3.5 1.14124 0 0.429357
3.7 1.04688 0.0294118 0.633237
3.95 0.586022 0.529412 1.51953
4.25 0.915004 0.0710784 2.36556
4.55 0.0759226 2.75 3.08098
4.85 0.114994 2.29167 4.13265
&
B GLU_CG 5.06667 10.9999
1.55 0.84627 0 4.1154e-05
1.65 0.84627 0 0.000109813
1.75 0.84627 0 0.000302003
1.85 0.84627 0 0.000667362
1.95 0.84627 0 0.0014076
2.05 0.84627 0 0.00250831
2.15 0.84627 0 0.00424516
2.25 0.84627 0 0.00662415
2.35 0.84627 0 0.00995102
2.45 0.84627 0 0.0132668
2.55 0.84627 0 0.0180618
2.65 0.84627 0 0.0248016
2.75 0.84627 0 0.0324939
2.9 0.84627 0 0.0957509
3.1 0.84627 0 0.153763
3.3 0.84627 0 0.240194
3.5 0.84627 0 0.36703
3.7 0.84627 0 0.541314
3.95 0.84627 0 1.29895
4.25 0.729733 0.0416667 2.02216
4.55 0.38184 0.833333 2.63372
4.85 -0.101205 4.19167 3.53273
&
B GLU_OE 8.17647 26.7314
1.55 3.00076 0 8.57091e-05
1.65 3.00076 0 0.000252561
1.75 3.00076 0 0.000719613
1.85 3.00076 0 0.00160749
1.95 3.00076 0 0.00340639
2.05 3.00076 0 0.00608128
2.15 3.00076 0 0.0103021
2.25 3.00076 0 0.0160834
2.35 3.00076 0 0.0241682
2.45 3.00076 0 0.0322261
2.55 3.00076 0 0.0438786
2.65 3.00076 0 0.0602576
2.75 3.00076 0 0.078951
2.9 3.00076 0 0.232675
3.1 1.44782 0.0294118 0.373655
3.3 0.0925233 0.529412 0.583694
3.5 1.77539 0.0588235 0.891927
3.7 0.258617 1 1.31546
3.95 0.719463 1.07108 3.15663
4.25 0.0738366 3.48775 4.91416
4.55 0.785565 0.708333 6.40035
4.85 0.521973 1.29167 8.58507
&
B GLY_CA 17.137 32.1591
1.55 3.53392 0 0.000101081
1.65 3.53392 0 0.000301812
1.75 3.53392 0 0.000863696
1.85 3.53392 0 0.00193185
1.95 3.53392 0 0.00409601
2.05 3.53392 0 0.00731401
2.15 3.53392 0 0.0123919
2.25 3.53392 0 0.019347
2.35 3.53392 0 0.0290734
2.45 3.53392 0 0.0387674
2.55 3.53392 0 0.0527859
2.65 3.53392 0 0.0724905
2.75 3.53392 0 0.0949796
2.9 3.53392 0 0.279917
3.1 -0.384555 0.666667 0.449521
3.3 -0.627294 1.33333 0.702208
3.5 0 1 1.07303
3.7 0 1 1.58256
3.95 0.607587 0.362745 3.79756
4.25 0.0294384 1.99216 5.91195
4.55 0 5.14622 7.6999
4.85 0 5.6359 10.3282
&
B HIS_CB 20.2917 7.74301
1.55 2.2359 0 3.19299e-05
1.65 2.2359 0 8.02601e-05
1.75 2.2359 0 0.000215546
1.85 2.2359 0 0.000472729
1.95 2.2359 0 0.000993798
2.05 2.2359 0 0.0017686
2.15 2.2359 0 0.00299121
2.25 2.2359 0 0.00466582
2.35 2.2359 0 0.00700766
2.45 2.2359 0 0.0093417
2.55 2.2359 0 0.012717
2.65 2.2359 0 0.0174613
2.75 2.2359 0 0.022876
2.9 2.2359 0 0.0674038
3.1 2.2359 0 0.10824
3.3 2.2359 0 0.16908
3.5 2.2359 0 0.258362
3.7 -0.0513422 1 0.381044
3.95 -0.73961 3 0.914355
4.25 -0.925382 5.20833 1.42344
4.55 -0.751297 7.16667 1.85393
4.85 -0.0748988 3.91667 2.48675
&
B HIS_CD2 22.598 15.2624
1.55 2.52891 0 5.32263e-05
1.65 2.52891 0 0.000148491
1.75 2.52891 0 0.000415155
1.85 2.52891 0 0.000922091
1.95 2.52891 0 0.00194918
2.05 2.52891 0 0.00347641
2.15 2.52891 0 0.0058863
2.25 2.52891 0 0.00918716
2.35 2.52891 0 0.0138032
2.45 2.52891 0 0.0184039
2.55 2.52891 0 0.0250569
2.65 2.52891 0 0.0344085
2.75 2.52891 0 0.0450816
2.9 2.52891 0 0.132851
3.1 2.52891 0 0.213343
3.3 2.52891 0 0.333266
3.5 0 0.558824 0.509252
3.7 2.52891 0 0.751071
3.95 -0.481418 5.19608 1.80229
4.25 0.523099 1.52941 2.80576
4.55 0 6.54657 3.6543
4.85 -0.0985891 8.76716 4.90167
&
B HIS_CE1 33.9485 16.328
1.55 3.69198 0 5.62443e-05
1.65 3.69198 0 0.00015816
1.75 3.69198 0 0.000443443
1.85 3.69198 0 0.000985772
1.95 3.69198 0 0.00208457
2.05 3.69198 0 0.00371843
2.15 3.69198 0 0.00629658
2.25 3.69198 0 0.00982789
2.35 3.69198 0 0.0147662
2.45 3.69198 0 0.0196881
2.55 3.69198 0 0.0268056
2.65 3.69198 0 0.0368101
2.75 3.69198 0 0.0482284
2.9 3.69198 0 0.142126
3.1 3.69198 0 0.228238
3.3 1.47723 0.0588235 0.356533
3.5 0.0835919 0.5 0.544807
3.7 -0.234856 1.52941 0.803509
3.95 0 4.45833 1.92812
4.25 -0.0662417 9.43382 3.00165
4.55 -0.183622 9.5098 3.90943
4.85 0 8.45833 5.2439
&
B HIS_CG 19.3676 12.6655
1.55 2.112 0 4.58714e-05
1.65 2.112 0 0.000124927
1.75 2.112 0 0.000346219
1.85 2.112 0 0.0007669
1.95 2.112 0 0.00161923
2.05 2.112 0 0.0028866
2.15 2.112 0 0.00488646
2.25 2.112 0 0.00762567
2.35 2.112 0 0.0114563
2.45 2.112 0 0.0152742
2.55 2.112 0 0.0207952
2.65 2.112 0 0.0285556
2.75 2.112 0 0.0374127
2.9 2.112 0 0.110248
3.1 2.112 0 0.177045
3.3 2.112 0 0.276563
3.5 2.112 0 0.422605
3.7 2.112 0 0.623279
3.95 0.310341 1.04167 1.49563
4.25 -0.0609505 4.95833 2.32836
4.55 -0.604635 8.93382 3.03252
4.85 0 4.43382 4.06766
&
B HIS_ND1 24.4216 13.649
1.55 2.74502 0 4.8657e-05
1.65 2.74502 0 0.000133851
1.75 2.74502 0 0.000372328
1.85 2.74502 0 0.000825677
1.95 2.74502 0 0.00174419
2.05 2.74502 0 0.00310999
2.15 2.74502 0 0.00526514
2.25 2.74502 0 0.00821707
2.35 2.74502 0 0.0123452
2.45 2.74502 0 0.0164595
2.55 2.74502 0 0.0224093
2.65 2.74502 0 0.0307723
2.75 2.74502 0 0.0403172
2.9 2.74502 0 0.118809
3.1 2.74502 0 0.190792
3.3 2.74502 0 0.298039
3.5 -0.418497 2 0.455422
3.7 0 1.45833 0.671679
3.95 -0.357957 5.125 1.61178
4.25 -0.0804144 4.67157 2.50917
4.55 -0.224092 5.58333 3.26802
4.85 0 5.58333 4.38353
&
B HIS_NE2 35.3578 16.6782
1.55 3.81114 0 5.72363e-05
1.65 3.81114 0 0.000161338
1.75 3.81114 0 0.000452741
1.85 3.81114 0 0.00100671
1.95 3.81114 0 0.00212907
2.05 3.81114 0 0.00379798
2.15 3.81114 0 0.00643144
2.25 3.81114 0 0.0100385
2.35 3.81114 0 0.0150828
2.45 3.81114 0 0.0201102
2.55 3.81114 0 0.0273804
2.65 3.81114 0 0.0375996
2.75 3.81114 0 0.0492628
2.9 3.81114 0 0.145174
3.1 -0.630859 1.5 0.233134
3.3 0 1.02941 0.364182
3.5 -0.224258 2.28431 0.556494
3.7 -0.229935 2.72549 0.820746
3.95 -0.0730988 2.86275 1.96948
4.25 -0.245643 9.57108 3.06604
4.55 -0.603021 9.49265 3.9933
4.85 0 5.89216 5.35639
&
B ILE_CB 2.27941 13.6182
1.55 1.26002 0 4.85695e-05
1.65 1.26002 0 0.000133571
1.75 1.26002 0 0.000371508
1.85 1.26002 0 0.000823832
1.95 1.26002 0 0.00174027
2.05 1.26002 0 0.00310297
2.15 1.26002 0 0.00525325
2.25 1.26002 0 0.0081985
2.35 1.26002 0 0.0123173
2.45 1.26002 0 0.0164223
2.55 1.26002 0 0.0223586
2.65 1.26002 0 0.0307027
2.75 1.26002 0 0.040226
2.9 1.26002 0 0.11854
3.1 1.26002 0 0.190361
3.3 1.26002 0 0.297364
3.5 1.26002 0 0.454391
3.7 1.26002 0 0.670159
3.95 0.509842 0.333333 1.60813
4.25 1.26002 0 2.50349
4.55 0.280057 1.16667 3.26062
4.85 0.606564 0.779412 4.37361
&
B ILE_CD1 18.7132 20.6839
1.55 2.28736 0 6.85812e-05
1.65 2.28736 0 0.000197686
1.75 2.28736 0 0.000559076
1.85 2.28736 0 0.00124609
1.95 2.28736 0 0.00263802
2.05 2.28736 0 0.00470776
2.15 2.28736 0 0.0079737
2.25 2.28736 0 0.0124471
2.35 2.28736 0 0.0187029
2.45 2.28736 0 0.0249378
2.55 2.28736 0 0.0339541
2.65 2.28736 0 0.0466276
2.75 2.28736 0 0.061092
2.9 2.28736 0 0.180039
3.1 -0.12873 0.333333 0.289124
3.3 -0.356096 0.666667 0.451646
3.5 0 0.666667 0.690146
3.7 -0.265762 1.36275 1.01786
3.95 0.0669193 1.39216 2.4425
4.25 0.0326715 1.33333 3.80242
4.55 -0.0668288 5.33333 4.95238
4.85 -0.124727 7.625 6.64285
&
B ILE_CG1 14.201 16.6154
1.55 1.72043 0 5.70584e-05
1.65 1.72043 0 0.000160768
1.75 1.72043 0 0.000451073
1.85 1.72043 0 0.00100295
1.95 1.72043 0 0.00212109
2.05 1.72043 0 0.00378371
2.15 1.72043 0 0.00640725
2.25 1.72043 0 0.0100007
2.35 1.72043 0 0.015026
2.45 1.72043 0 0.0200345
2.55 1.72043 0 0.0272773
2.65 1.72043 0 0.037458
2.75 1.72043 0 0.0490773
2.9 1.72043 0 0.144628
3.1 1.72043 0 0.232256
3.3 1.72043 0 0.36281
3.5 -0.153803 0.666667 0.554398
3.7 1.72043 0 0.817654
3.95 -0.267844 2.69608 1.96207
4.25 0 1.58333 3.05449
